PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type Full Name,State Source Type Full Name,Regulated As Water Hauler?,Population,Service Connections,Enforcement
CO0150466,1001 LAMAR,Reports,PROWERS,I,Community,null,No,50,54,No Recent Activity
CO0253730,101 SAN LUIS VALLEY LIVESTOCK,Reports,RIO GRANDE,I,Non-Public,Groundwater,No,0,17,No Recent Activity
CO0115437,10251 10341 KERMIT RD,Reports,DELTA,P,Non-Public,null,No,19,7,No Recent Activity
CO0230204,10838 HIGHWAY 93,Reports,JEFFERSON,P,Non-Public,Surface Water,No,0,1,No Recent Activity
CO0247118,11 MILE CROSS CREEK,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247025,11 MILE GENERAL STORE,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247115,11 MILE SRA  BACK COUNTRY,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247108,11 MILE SRA  N SHORE LOOP B,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247112,11 MILE SRA  N SHORE LOOP D,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247005,11 MILE SRA  OFFICE MAINT,Reports,PARK,I,Non-Public,Groundwater,No,12,1,No Recent Activity
CO0247122,11 MILE SRA  ROCKING CHAIR,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247116,11 MILE SRA  ROCKY FLATS E,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247114,11 MILE SRA  SOURDOUGH FLT,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247119,11 MILE SRA  SUCKER COVE,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247113,11 MILE SRA  WITCHER COVE,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247124,11 MILE SRA COYOTE RIDGE,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0247123,11 MILE SRA HOWBERT POINT,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0247121,11 MILE SRA LAZY BOY,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0247109,11 MILE SRA N SHORE COVE RAMP,Reports,PARK,I,"Transient, Non-Community",Groundwater,No,50,1,No Recent Activity
CO0247106,11 MILE SRA N SHORE PRESSURE,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,155,6,No Recent Activity
CO0247105,11 MILE SRA ROCKY RIDGE LOOP A,Reports,PARK,I,Non-Public,null,No,0,1,No Recent Activity
CO0247110,11 MILE SRA ROCKY RIDGE LOOP C,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247111,11 MILE SRA ROCKY RIDGE LOOP E,Reports,PARK,I,"Transient, Non-Community",Groundwater,No,50,1,No Recent Activity
CO0247120,11 MILE SRA RODGERS MTN,Reports,PARK,I,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0247104,11 MILE SRA SPI GATE,Reports,PARK,A,Non-Public,Groundwater,No,12,1,No Recent Activity
CO0247117,11 MILE SRA STOLL MTN,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0162156,115 BRIGGS ST,Reports,WELD,P,Non-Public,null,No,19,7,No Recent Activity
CO0122410,1261 PARK AVE,Reports,FREMONT,P,Community,null,No,63,29,No Recent Activity
CO0134433,133 KAYCEE LANE,Reports,LA PLATA,A,"Transient, Non-Community",Groundwater,No,31,1,No Recent Activity
CO0121233,1451 8TH STREET,Reports,EL PASO,P,Non-Public,null,No,13,6,No Recent Activity
CO0221820,1859 RESTAURANT AT SEVEN FALLS,Reports,EL PASO,A,"Transient, Non-Community",Groundwater UDI Surface Water,No,170,1,No Recent Activity
CO0218761,20 MILE TAP HOUSE,Reports,DOUGLAS,I,Non-Public,null,No,0,null,No Recent Activity
CO0255185,200 COTTONWOOD LLC,Reports,SAGUACHE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0134110,2068 BAYFIELD PARKWAY,Reports,LA PLATA,P,Non-Public,null,No,13,6,No Recent Activity
CO0143100,210 S 5TH ST,Reports,MONTROSE,P,Non-Public,null,No,13,5,No Recent Activity
CO0135842,210 WELLS ST MHP,Reports,LOGAN,P,Non-Public,null,No,19,8,No Recent Activity
CO0133105,211 MONROE ST,Reports,LAKE,P,Non-Public,null,No,26,10,No Recent Activity
CO0121615,2209 E PLATTE AVE,Reports,EL PASO,I,Non-Public,null,No,16,6,No Recent Activity
CO0107705,224 SEWARD ST,Reports,BOULDER,P,Non-Public,Purchased Surface Water,No,21,14,No Recent Activity
CO0123100,226 E 9TH ST,Reports,GARFIELD,P,Non-Public,null,No,13,5,No Recent Activity
CO0133506,240 SPAULDING,Reports,LARIMER,P,Non-Public,null,No,19,7,No Recent Activity
CO0343760,25 MESA RS,Reports,MONTROSE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0230355,285 BUSINESS PARK,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Groundwater,No,46,6,No Recent Activity
CO0151249,3009 N ELIZABETH ST,Reports,PUEBLO,P,Non-Public,null,No,185,88,No Recent Activity
CO0102155,301 BROADWAY AVE,Reports,ALAMOSA,P,Non-Public,null,No,32,20,No Recent Activity
CO0163100,35319 COUNTY ROAD FF,Reports,YUMA,A,Non-Public,Groundwater,No,22,11,No Recent Activity
CO0219100,4 EAGLE RANCH,Reports,EAGLE,A,"Transient, Non-Community",Surface Water,No,470,36,Open Target
CO0121111,4 WAY RANCH MD 2,Reports,EL PASO,A,Community,Groundwater,No,150,41,No Recent Activity
CO0133507,430 E EISENHOWER BLVD.,Reports,LARIMER,P,Non-Public,null,No,32,12,No Recent Activity
CO0151317,4334 GOODNIGHT,Reports,PUEBLO,P,Non-Public,Purchased Surface Water,No,16,8,No Recent Activity
CO0153492,458 LYELL STREET,Reports,RIO GRANDE,P,Non-Public,Purchased Groundwater,No,21,8,No Recent Activity
CO0116918,4765 YORK STREET,Reports,DENVER,P,Non-Public,null,No,21,15,No Recent Activity
CO0103184,4CS MOBILE HOME PARK,Reports,ARAPAHOE,P,Non-Public,null,No,52,20,No Recent Activity
CO0146700,4J RV PARK & CAMPGROUND,Reports,OURAY,P,Non-Public,null,No,71,29,No Recent Activity
CO0126182,50 HIGH TRAILER PARK,Reports,GUNNISON,P,Community,Purchased Groundwater,No,50,19,No Recent Activity
CO0103266,511 4TH AVE,Reports,ARAPAHOE,P,Non-Public,null,No,13,6,No Recent Activity
CO0141100,520 E 3RD ST.,Reports,MOFFAT,P,Non-Public,null,No,16,8,No Recent Activity
CO0101184,590 E COLFAX,Reports,ADAMS,P,Non-Public,null,No,24,9,No Recent Activity
CO0126183,614 W GUNNISON AVE,Reports,GUNNISON,P,Non-Public,null,No,13,6,No Recent Activity
CO0142100,641 S BROADWAY,Reports,MONTEZUMA,P,Community,null,No,47,37,No Recent Activity
CO0108184,7125 COUNTY ROAD 109,Reports,CHAFFEE,P,Non-Public,null,No,32,16,No Recent Activity
CO0143101,924 S CASCADE AVE,Reports,MONTROSE,P,Non-Public,null,No,26,10,No Recent Activity
CO0162101,931 DENVER AVE,Reports,WELD,P,Community,null,No,29,11,No Recent Activity
CO0113050,96 PIPELINE CO INC,Reports,CROWLEY,A,Community,Purchased Groundwater,No,285,100,Open Target
CO0107100,A 1 DISCOUNT WC,Reports,BOULDER,A,Non-Public,Purchased Surface Water,"YES  ",20,6,No Recent Activity
CO0121101,A 1 MOBILE HOME VILLAGE,Reports,EL PASO,I,Community,Purchased Surface Water,No,135,84,Closed Order Within Last 3 Years
CO0150100,A AND B WA INC,Reports,PROWERS,A,Community,Groundwater,No,100,42,Open Order
CO0325685,A BAY ROARING FORK CG,Reports,GRAND,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0253850,A E STALEY MFG,Reports,RIO GRANDE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0214101,A PAINTED VIEW RANCH,Reports,CUSTER,I,Non-Public,Groundwater,No,11,2,No Recent Activity
CO0207101,A PLUS WATER,Reports,BOULDER,I,Non-Public,Purchased Surface Water,"YES  ",0,null,No Recent Activity
CO0230101,A PLUS WATER HAULER,Reports,BOULDER,I,Non-Public,Purchased Surface Water,No,0,null,No Recent Activity
CO0207121,A R F  PRODUCTS  INC,Reports,BOULDER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0230150,A TASTE OF NEW YORK,Reports,JEFFERSON,I,Non-Public,Groundwater,No,0,2,No Recent Activity
CO0134100,A WATER WAGON LLC,Reports,LA PLATA,A,Non-Public,Purchased Surface Water,"YES  ",1,1,No Recent Activity
CO0139101,AAA MOBILE HOME PARK,Reports,MESA,P,Non-Public,null,No,58,22,No Recent Activity
CO0135102,ABBEY OF ST WALBURGA,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,62,6,No Recent Activity
CO0204101,ABC CUSTOM SERVICE,Reports,ARCHULETA,I,Non-Public,null,No,0,null,No Recent Activity
CO0218100,ABC KIDS INC,Reports,DOUGLAS,I,Non-Public,Groundwater,No,0,null,No Recent Activity
CO0121025,ACADEMY WSD,Reports,EL PASO,A,Community,Groundwater,No,750,302,No Recent Activity
CO0255100,ACTION PRODUCE CAMP,Reports,SAGUACHE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0241103,ACTION SERVICES INC,Reports,MOFFAT,A,Non-Public,Purchased Surface Water,"YES  ",1,1,No Recent Activity
CO0234103,ACURA 53 COMMERCIAL,Reports,LA PLATA,P,Non-Public,null,No,0,null,No Recent Activity
CO0201003,ADAMS COUNTY PARK GCS FG ETC,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0201002,ADAMS COUNTY PARKS,Reports,ADAMS,A,"Non-Transient, Non-Community",Groundwater,No,868,16,No Recent Activity
CO0252104,ADAMS LODGE,Reports,RIO BLANCO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0218035,ADRIANAS MEXICAN RESTAURANT,Reports,DOUGLAS,A,"Transient, Non-Community",Groundwater,No,66,3,No Recent Activity
CO0230104,ADVANCE AUTO,Reports,JEFFERSON,A,Non-Public,null,No,17,1,No Recent Activity
CO0101104,ADVANCE MHP,Reports,ADAMS,A,Community,Purchased Surface Water,No,175,74,No Recent Activity
CO0238104,ADVANTAGE TREATMENT CTR,Reports,LOGAN,I,Non-Public,Groundwater,No,0,4,No Recent Activity
CO0116104,ADVENIR FRENCH QUARTER,Reports,DENVER,A,Community,Purchased Surface Water,No,3447,33,No Recent Activity
CO0208040,ADVENTURE UNLIMITED RANCHES,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,321,18,No Recent Activity
CO0226105,AEI BASE CAMP,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,50,1,No Recent Activity
CO0235105,AERIAL TRAMWAY (STORE),Reports,LARIMER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0259018,AERIE,Reports,SUMMIT,A,"Non-Transient, Non-Community",Groundwater,No,2077,3,No Recent Activity
CO0121109,AF ACADEMY MILITARY COMMUNITIES LLC,Reports,EL PASO,I,Non-Public,Purchased Surface Water,No,0,5,No Recent Activity
CO0347010,AG RANCH CREW QTR,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0259108,AGAPE OUTPOST BAPTIST CHAPEL,Reports,SUMMIT,A,"Transient, Non-Community",Groundwater,No,34,2,No Recent Activity
CO0154108,AGATE CREEK PRESERVE HOA,Reports,ROUTT,A,Non-Public,Groundwater,No,23,12,No Recent Activity
CO0120001,AGATE WA,Reports,ELBERT,A,Community,Groundwater,No,152,43,Closed Order Within Last 3 Years
CO0108108,AGUA VIVA MOBILE HOME PARK,Reports,CHAFFEE,P,Non-Public,null,No,16,8,No Recent Activity
CO0136100,AGUILAR TOWN OF,Reports,LAS ANIMAS,A,Community,Groundwater,No,496,391,Open Order
CO0201160,AIRLINE BAR AND CAFE,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0201001,AIRPORT BUDGET HOTEL,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0104110,AIRPORT TRAILER PARK,Reports,ARCHULETA,P,Non-Public,null,No,26,14,No Recent Activity
CO0211800,AIYM HIGH ADVENTURE CAMP,Reports,CONEJOS,A,Non-Public,Groundwater,No,10,8,No Recent Activity
CO0223727,AJ BRINKS AT SWEETWATER RESORT,Reports,GARFIELD,A,Non-Public,Groundwater,No,23,1,No Recent Activity
CO0219112,AJAX SLEEPAWAY,Reports,EAGLE,A,"Transient, Non-Community",Groundwater,No,43,3,No Recent Activity
CO0161001,AKRON TOWN OF,Reports,WASHINGTON,A,Community,Groundwater,No,2379,932,No Recent Activity
CO0202200,ALA VISTA TRUCK CENTER,Reports,ALAMOSA,A,Non-Public,Groundwater,No,1,1,No Recent Activity
CO0130116,ALAMEDA WSD,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,2480,335,No Recent Activity
