cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1980,Colorado,18927,2907630.05,650.942509,939.1013334,45.72367773
All Causes,1980,Adams,1272,247406.8,514.1329988,1027.492898,935.9728445
All Causes,1980,Alamosa,71,11921.46,595.5646372,899.7691481,10753.09852
All Causes,1980,Arapahoe,1333,297787.52,447.6346087,929.6656033,735.0247653
All Causes,1980,Archuleta,20,3779.08,529.2293362,789.110379,32570.16821
All Causes,1980,Baca,53,5452.13,972.0971437,986.1431787,17485.1215
All Causes,1980,Bent,52,5989.7,868.1570029,799.9942199,11915.8158
All Causes,1980,Boulder,908,190728.21,476.0701105,806.4199409,720.9750831
All Causes,1980,Broomfield,,,,,
All Causes,1980,Chaffee,115,13339.31,862.1135576,1007.742949,8559.07643
All Causes,1980,Cheyenne,19,2211.44,859.1686865,883.8827476,36698.99134
All Causes,1980,Clear Creek,36,7394.67,486.8371408,881.7871406,24656.93212
All Causes,1980,Conejos,61,7821.28,779.9234908,1020.927756,16229.33881
All Causes,1980,Costilla,38,3114.9,1219.942855,1080.798635,29644.22361
All Causes,1980,Crowley,42,3028.33,1386.903013,1045.883432,25387.81315
All Causes,1980,Custer,8,1580.55,506.1529215,488.8015152,30271.36117
All Causes,1980,Delta,228,21521.27,1059.417033,881.0545419,3387.632146
All Causes,1980,Denver,4520,493399.29,916.0937382,978.3849077,206.4698283
All Causes,1980,Dolores,9,1708.76,526.6977223,793.1444695,65803.34593
All Causes,1980,Douglas,91,25670.89,354.4871253,791.038608,7856.161891
All Causes,1980,Eagle,43,13455.9,319.5624224,815.8336374,25200.64756
All Causes,1980,Elbert,48,6949.88,690.6594071,894.9214763,16493.06836
All Causes,1980,El Paso,1707,312019.36,547.0814375,947.371916,533.3499105
All Causes,1980,Fremont,353,28890.47,1221.856204,996.9495031,2784.783586
All Causes,1980,Garfield,155,23044.72,672.6052649,959.869344,5680.898256
All Causes,1980,Gilpin,10,2522.5,396.432111,602.1361366,46758.31965
All Causes,1980,Grand,34,7577.8,448.6790361,947.4556877,36861.24285
All Causes,1980,Gunnison,47,10730.48,438.0046373,997.2945083,22485.05313
All Causes,1980,Hinsdale,,463.92,,,
All Causes,1980,Huerfano,87,6462.66,1346.194911,1091.845711,13578.52298
All Causes,1980,Jackson,3,1941.72,154.5021939,271.9776624,24759.53249
