loc_name,loc_desc,chemical_name,result_numeric,sample_date,ppt_unit,zipcode,city,county,method_detection_limit,loc_purpose,loc_type,remark_1
CO0162285,FOX HILLS HOA,Perfluoroundecanoic acid (PFUnA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorohexanoic acid (PFHxA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorododecanoic acid (PFDoA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorooctanoic acid (PFOA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorodecanoic acid (PFDA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorohexanesulfonic acid (PFHxS),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorobutanesulfonic acid (PFBS),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluoroheptanoic acid (PFHpA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorononanoic acid (PFNA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorotetradecanoic (PFTeA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,"PFOS and PFOA, Total Combined",0,4/10/2020,ppt,80621,FORT LUPTON,WELD,,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Total PFAS,0,4/10/2020,ppt,80621,FORT LUPTON,WELD,,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Hexafluoropropylene oxide dimer acid,0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorooctanesulfonic acid (PFOS),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0162285,FOX HILLS HOA,Perfluorotridecanoic acid (PFTriA),0,4/10/2020,ppt,80621,FORT LUPTON,WELD,0.41,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Total PFAS,0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,"PFOS and PFOA, Total Combined",0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorotetradecanoic (PFTeA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorononanoic acid (PFNA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluoroheptanoic acid (PFHpA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorobutanesulfonic acid (PFBS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorohexanesulfonic acid (PFHxS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorodecanoic acid (PFDA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorooctanoic acid (PFOA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorododecanoic acid (PFDoA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorohexanoic acid (PFHxA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluoroundecanoic acid (PFUnA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorooctanesulfonic acid (PFOS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorotridecanoic acid (PFTriA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Hexafluoropropylene oxide dimer acid,0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Total PFAS,3.25,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorotridecanoic acid (PFTriA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorotetradecanoic (PFTeA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorononanoic acid (PFNA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluoroheptanoic acid (PFHpA),0.74,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
